"LOGICIEL
,,R,,CAS_SERVER,,Sécurité,4.1,,,Apache 2.0,Authentification,,
,SSO Web,R,,LemonLDAP NG,,Sécurité,,,,,Authentification,,SSO
,,R,,LogStach / Kibana,,Sécurité,2.0 / 4.2,,,Apache,Authentification,,
,,R,,Syslog-ng,,Sécurité,3.7,,,"LGPL
GPL2",Gestion des logs,,"Gestion des logs en mode 
centralisé"
,,R,,"natif sous Linux >= 
2.6
dm-crypt",,Sécurité,,,,,Chiffrement,,Chiffrement de fichiers / stockages
,services déconcentrés,R,,Eole AMON,,Sécurité,2.5,,,"GPL
CeCCIL
et autres licences",Pare-feu – Réseau,,Pare-feu réseau et web
,centres de production,R,,Apache,,Sécurité,,,,Apache 2.0,Reverse Proxy,,Reverse Proxy
,services déconcentrés,R,,Nginx,,Sécurité,"version 
distribution",,,BSD,Reverse Proxy,,Reverse Proxy
,,R,,HAProxy,,Sécurité,1.5,,,GPL2,Load Balancer,,Load Balancer
,,R,,Cups,,"Intégration & 
Échanges","version 
distribution",,,"GPL
LGPL","Serveur 
d'impression",,Serveur d'impression
,,R,,Postfix,,"Intégration & 
Échanges","version 
distribution",,,IBM Public License,Serveur SMTP,,Messagerie system
,ETALAB,O,,BackupPC,,Sauvegarde,"version 
distribution",,,GPL,Sauvegarde poste,,"Sauvegarde centralisée des postes 
clients"
,EOLE,O,,BAREOS,,Sauvegarde,"version 
distribution",,,AGPL3,Sauvegarde Serveur,,"Sauvegarde Serveurs (Postes 
possibles)"
